user_id,expenses,vibe,reviews,instagram_photos,previous_destinations,favorite_activities,total_package_amount,days_by_travel_option,hotel_rooms_with_budget_price,famous_places_to_visit
U001,2500,Socializing,better,https://instagram.com/photos/U001,Leh,fine dining,6811.330158497017,3 days by flight,93 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Backwaters, Munnar"
U002,1500,Adventure,better,https://instagram.com/photos/U002,Agra,"shopping, cultural tours",4086.79809509821,6 days by train,104 USD per night,"Taj Mahal, Agra Fort, Mehtab Bagh, Kashi Vishwanath Temple, Dashashwamedh Ghat"
U003,2500,Budget,ok,https://instagram.com/photos/U003,Varanasi,fine dining,6811.330158497017,3 days by flight,89 USD per night,"Kashi Vishwanath Temple, Dashashwamedh Ghat, Sarnath, Pangong Lake, Leh Palace"
U004,2500,Adventure,good,https://instagram.com/photos/U004,Rishikesh,"yoga, hiking, shopping",6811.330158497017,4 days by train,76 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Rohtang Pass, Solang Valley"
U005,2000,Cultural,ok,https://instagram.com/photos/U005,Udaipur,"water sports, shopping",5449.064126797613,8 days by car,128 USD per night,"City Palace, Lake Pichola, Jag Mandir, Taj Mahal, Agra Fort"
U006,1500,Relaxation,good,https://instagram.com/photos/U006,Mysore,fine dining,4086.79809509821,5 days by car,95 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Rohtang Pass, Solang Valley"
U007,2000,Budget,better,https://instagram.com/photos/U007,Rishikesh,"yoga, shopping, water sports",5449.064126797613,4 days by car,96 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Rohtang Pass, Solang Valley"
U008,2500,Foodie,ok,https://instagram.com/photos/U008,Shimla,"water sports, fine dining",6811.330158497017,5 days by car,141 USD per night,"Laxman Jhula, Triveni Ghat, Rajaji National Park, Pangong Lake, Leh Palace"
U009,2500,Foodie,ok,https://instagram.com/photos/U009,Leh,"cultural tours, hiking",6811.330158497017,10 days by car,69 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, City Palace, Lake Pichola"
U010,1500,Relaxation,better,https://instagram.com/photos/U010,Amritsar,"yoga, beach lounging",4086.79809509821,7 days by car,112 USD per night,"Golden Temple, Jallianwala Bagh, Wagah Border, Rohtang Pass, Solang Valley"
U011,2000,Relaxation,better,https://instagram.com/photos/U011,Shimla,"shopping, yoga",5449.064126797613,6 days by flight,75 USD per night,"Hawa Mahal, Amber Fort, City Palace, Rohtang Pass, Solang Valley"
U012,2000,Adventure,ok,https://instagram.com/photos/U012,Manali,"fine dining, water sports",5449.064126797613,8 days by train,129 USD per night,"Rohtang Pass, Solang Valley, Hidimba Devi Temple, Pangong Lake, Leh Palace"
U013,2000,Budget,ok,https://instagram.com/photos/U013,Kerala,hiking,5449.064126797613,6 days by car,91 USD per night,"Backwaters, Munnar, Thekkady, Golden Temple, Jallianwala Bagh"
U014,1500,Budget,best,https://instagram.com/photos/U014,Goa,"shopping, cultural tours, fine dining",4086.79809509821,4 days by flight,116 USD per night,"Baga Beach, Fort Aguada, Dudhsagar Falls, Kashi Vishwanath Temple, Dashashwamedh Ghat"
U015,1500,Socializing,best,https://instagram.com/photos/U015,Leh,"yoga, hiking, shopping",4086.79809509821,6 days by flight,68 USD per night,"Pangong Lake, Leh Palace, Magnetic Hill, Laxman Jhula, Triveni Ghat"
